"JAW"	"GUM"	"JAW - GUM"	"fnt"
"VOLUME"	"TANK"	"VOLUME - TANK"	"b"
"ADVICE"	"LESSON"	"ADVICE - OOOOOO"	"pb"
"FOSSIL"	"DINOSAUR"	"FOSSIL - DINOSAUR"	"nt"
"AROMA"	"PLANT"	"AROMA - PLANT"	"t"
"PENCIL"	"STICKER"	"PENCIL - STICKER"	"t"
"VITAMIN"	"LEMON"	"VITAMIN - LEMON"	"b"
"COAST"	"THUNDER"	"COAST - THUNDER"	"nt"
"INSTANT"	"RATE"	"INSTANT - OOOO"	"pb"
"NAPKIN"	"FORK"	"NAPKIN - FORK"	"b"
"TAPE"	"RADIO"	"TAPE - RADIO"	"nt"
"COLLEGE"	"CERTIFICATE"	"COLLEGE - CERTIFICATE"	"fb"
"SERVANT"	"QUEEN"	"SERVANT - QUEEN"	"nt"
"MIXTURE"	"JAR"	"MIXTURE - OOO"	"pb"
"PICNIC"	"HILL"	"PICNIC - HILL"	"b"
"NAIL"	"PICTURE"	"NAIL - PICTURE"	"t"
"SURPRISE"	"SNAKE"	"SURPRISE - SNAKE"	"b"
"TYPE"	"PAPER"	"TYPE - PAPER"	"t"
"ACCIDENT"	"SNOW"	"ACCIDENT - SNOW"	"t"
"PIPE"	"WRENCH"	"PIPE - WRENCH"	"nt"
"REAR"	"TRAFFIC"	"REAR - OOOOOOO"	"pb"
"FOREST"	"TENT"	"FOREST - OOOO"	"pb"
"BOND"	"WEDDING"	"BOND - WEDDING"	"ft"
