"PUMP"	"OIL"	"PUMP - OIL"	"fnt"
"DIET"	"CREAM"	"DIET - OOOOO"	"pb"
"ABDOMEN"	"THIGH"	"ABDOMEN - THIGH"	"nt"
"GLOW"	"GHOST"	"GLOW - OOOOO"	"pb"
"METAL"	"STAPLE"	"METAL - STAPLE"	"b"
"VAULT"	"BRASS"	"VAULT - OOOOO"	"pb"
"LENS"	"PHYSICS"	"LENS - PHYSICS"	"b"
"ACE"	"SYMBOL"	"ACE - SYMBOL"	"b"
"MUSEUM"	"CLAY"	"MUSEUM - CLAY"	"t"
"SURFACE"	"FOAM"	"SURFACE - FOAM"	"nt"
"CRADLE"	"PARENT"	"CRADLE - PARENT"	"b"
"SCRATCH"	"MOSQUITO"	"SCRATCH - OOOOOOOO"	"fpb"
"BOOTH"	"DIAL"	"BOOTH - DIAL"	"nt"
"OFFICER"	"BLUE"	"OFFICER - BLUE"	"t"
"LUGGAGE"	"LEATHER"	"LUGGAGE - LEATHER"	"t"
"LICE"	"SCALP"	"LICE - SCALP"	"b"
"LEAP"	"BALLET"	"LEAP - OOOOOO"	"pb"
"UNIT"	"GRAVITY"	"UNIT - OOOOOOO"	"pb"
"JOGGER"	"COLLIE"	"JOGGER - COLLIE"	"t"
"DOUGH"	"SALT"	"DOUGH - SALT"	"t"
"LAWN"	"BEEF"	"LAWN - BEEF"	"nt"
"PET"	"MOUSE"	"PET - MOUSE"	"nt"
"CIGAR"	"VICE"	"CIGAR - OOOO"	"fpb"
