"COLLEGE"	"CERTIFICATE"	"COLLEGE - CERTIFICATE"	"fb"
"MIXTURE"	"JAR"	"MIXTURE - JAR"	"b"
"DECISION"	"JUDGE"	"DECISION - JUDGE"	"nt"
"UNIT"	"GRAVITY"	"UNIT - GRAVITY"	"b"
"RELAX"	"BED"	"RELAX - BED"	"t"
"RUG"	"WOOL"	"RUG - OOOO"	"pb"
"PLUM"	"CORE"	"PLUM - CORE"	"nt"
"STUMBLE"	"CLOWN"	"STUMBLE - CLOWN"	"b"
"DIET"	"CREAM"	"DIET - CREAM"	"b"
"LICE"	"SCALP"	"LICE - SCALP"	"nt"
"CROW"	"ASCENT"	"CROW - ASCENT"	"t"
"SCRATCH"	"MOSQUITO"	"SCRATCH - MOSQUITO"	"ft"
"COAST"	"THUNDER"	"COAST - THUNDER"	"t"
"LIBERTY"	"EAGLE"	"LIBERTY - OOOOO"	"pb"
"BREATH"	"TICKLE"	"BREATH - TICKLE"	"t"
"NIGHTCLUB"	"LIPSTICK"	"NIGHTCLUB - LIPSTICK"	"nt"
"VAULT"	"BRASS"	"VAULT - BRASS"	"b"
"KNUCKLE"	"RING"	"KNUCKLE - OOOO"	"pb"
"MILK"	"SKIM"	"MILK - OOOO"	"pb"
"LOAN"	"POVERTY"	"LOAN - POVERTY"	"t"
"ACE"	"SYMBOL"	"ACE - SYMBOL"	"nt"
"OFFICER"	"BLUE"	"OFFICER - OOOO"	"pb"
"PUMP"	"OIL"	"PUMP - OIL"	"ft"
