"TOLL"	"BRIDGE"	"TOLL - OOOOOO"	"fpb"
"NAPKIN"	"FORK"	"NAPKIN - FORK"	"nt"
"DOUGH"	"SALT"	"DOUGH - OOOO"	"pb"
"HELM"	"OPERA"	"HELM - OPERA"	"b"
"DECAY"	"CARBON"	"DECAY - CARBON"	"b"
"PENCIL"	"STICKER"	"PENCIL - OOOOOOO"	"pb"
"INSIGHT"	"ART"	"INSIGHT - ART"	"t"
"SKULL"	"MUMMY"	"SKULL - OOOOO"	"pb"
"PET"	"MOUSE"	"PET - MOUSE"	"t"
"NAIL"	"PICTURE"	"NAIL - OOOOOOO"	"pb"
"ABDOMEN"	"THIGH"	"ABDOMEN - THIGH"	"t"
"CARTOON"	"HERO"	"CARTOON - HERO"	"ft"
"BAT"	"DIRT"	"BAT - DIRT"	"nt"
"INSTANT"	"RATE"	"INSTANT - RATE"	"b"
"SURFACE"	"FOAM"	"SURFACE - FOAM"	"t"
"PIPE"	"WRENCH"	"PIPE - WRENCH"	"t"
"LEAP"	"BALLET"	"LEAP - BALLET"	"b"
"SOCIETY"	"YOUTH"	"SOCIETY - YOUTH"	"b"
"SOIL"	"TOMATO"	"SOIL - OOOOOO"	"pb"
"TREE"	"LIFE"	"TREE - LIFE"	"nt"
"LAKE"	"SUMMER"	"LAKE - SUMMER"	"nt"
"SURPRISE"	"SNAKE"	"SURPRISE - SNAKE"	"nt"
"JAW"	"GUM"	"JAW - GUM"	"fb"
