"CIGAR"	"VICE"	"CIGAR - VICE"	"ft"
"SURPRISE"	"SNAKE"	"SURPRISE - SNAKE"	"b"
"SKULL"	"MUMMY"	"SKULL - MUMMY"	"t"
"DECISION"	"JUDGE"	"DECISION - JUDGE"	"b"
"STUMBLE"	"CLOWN"	"STUMBLE - OOOOO"	"pb"
"CROW"	"ASCENT"	"CROW - ASCENT"	"nt"
"OFFICER"	"BLUE"	"OFFICER - BLUE"	"t"
"PIPE"	"WRENCH"	"PIPE - WRENCH"	"nt"
"INSTANT"	"RATE"	"INSTANT - OOOO"	"pb"
"DOUGH"	"SALT"	"DOUGH - SALT"	"t"
"ANTLER"	"KNIFE"	"ANTLER - OOOOO"	"pb"
"JAW"	"GUM"	"JAW - GUM"	"fnt"
"LIBERTY"	"EAGLE"	"LIBERTY - EAGLE"	"t"
"BUSINESS"	"DESK"	"BUSINESS - OOOO"	"pb"
"SURFACE"	"FOAM"	"SURFACE - FOAM"	"nt"
"VOLUME"	"TANK"	"VOLUME - TANK"	"b"
"RELAX"	"BED"	"RELAX - BED"	"nt"
"LENS"	"PHYSICS"	"LENS - PHYSICS"	"b"
"ACCIDENT"	"SNOW"	"ACCIDENT - SNOW"	"t"
"COAST"	"THUNDER"	"COAST - THUNDER"	"nt"
"VITAMIN"	"LEMON"	"VITAMIN - LEMON"	"b"
"FOREST"	"TENT"	"FOREST - OOOO"	"pb"
"CARTOON"	"HERO"	"CARTOON - OOOO"	"fpb"
