"CIGAR"	"VICE"	"CIGAR - VICE"	"ft"
"LENS"	"PHYSICS"	"LENS - PHYSICS"	"t"
"ANTLER"	"KNIFE"	"ANTLER - KNIFE"	"nt"
"UNIT"	"GRAVITY"	"UNIT - GRAVITY"	"nt"
"BOOTH"	"DIAL"	"BOOTH - OOOO"	"pb"
"CRUMB"	"TOASTER"	"CRUMB - TOASTER"	"b"
"JOGGER"	"COLLIE"	"JOGGER - COLLIE"	"b"
"BREATH"	"TICKLE"	"BREATH - OOOOOO"	"pb"
"VAULT"	"BRASS"	"VAULT - BRASS"	"nt"
"METAL"	"STAPLE"	"METAL - STAPLE"	"t"
"RELAX"	"BED"	"RELAX - OOO"	"pb"
"JAW"	"GUM"	"JAW - GUM"	"fnt"
"BUSINESS"	"DESK"	"BUSINESS - DESK"	"nt"
"NIGHTCLUB"	"LIPSTICK"	"NIGHTCLUB - LIPSTICK"	"t"
"CANDLE"	"WINE"	"CANDLE - WINE"	"t"
"FOREST"	"TENT"	"FOREST - TENT"	"nt"
"CRACK"	"LOBSTER"	"CRACK - LOBSTER"	"b"
"ACCIDENT"	"SNOW"	"ACCIDENT - SNOW"	"b"
"SURFACE"	"FOAM"	"SURFACE - OOOO"	"pb"
"TYPE"	"PAPER"	"TYPE - PAPER"	"b"
"HIVE"	"HEXAGON"	"HIVE - HEXAGON"	"t"
"CROW"	"ASCENT"	"CROW - OOOOOO"	"pb"
"CARTOON"	"HERO"	"CARTOON - OOOO"	"fpb"
