"BOND"	"WEDDING"	"BOND - WEDDING"	"fnt"
"OFFICER"	"BLUE"	"OFFICER - BLUE"	"b"
"HELM"	"OPERA"	"HELM - OPERA"	"nt"
"COAST"	"THUNDER"	"COAST - OOOOOOO"	"pb"
"CRADLE"	"PARENT"	"CRADLE - PARENT"	"t"
"KNUCKLE"	"RING"	"KNUCKLE - RING"	"b"
"HUG"	"ROSE"	"HUG - ROSE"	"nt"
"NAIL"	"PICTURE"	"NAIL - PICTURE"	"b"
"SOCIETY"	"YOUTH"	"SOCIETY - YOUTH"	"nt"
"SCREEN"	"SNACK"	"SCREEN - OOOOO"	"pb"
"LAKE"	"SUMMER"	"LAKE - SUMMER"	"t"
"LINT"	"CURTAIN"	"LINT - CURTAIN"	"ft"
"BROOM"	"HOUSE"	"BROOM - HOUSE"	"t"
"BAT"	"DIRT"	"BAT - DIRT"	"t"
"LUGGAGE"	"LEATHER"	"LUGGAGE - LEATHER"	"b"
"STEAM"	"TRAIN"	"STEAM - OOOOO"	"pb"
"SOIL"	"TOMATO"	"SOIL - TOMATO"	"b"
"ADVICE"	"LESSON"	"ADVICE - LESSON"	"nt"
"PIPE"	"WRENCH"	"PIPE - OOOOOO"	"pb"
"GLOW"	"GHOST"	"GLOW - GHOST"	"nt"
"PLUM"	"CORE"	"PLUM - CORE"	"t"
"LOAN"	"POVERTY"	"LOAN - OOOOOOO"	"pb"
"CHALK"	"BOOK"	"CHALK - BOOK"	"fb"
