hint_criterion	response_criterion	wordpairs_criterion	condition_criterion	Performance_Criterion	Key_Criterion	CriterionHintTime	CriterionKeyTime	CriterionRT
PENCIL	STICKER	"PENCIL - STICKER"	t	0	m	0	0	0
INSTANT	RATE	"INSTANT - OOOO"	pb	0	z	4534480.42	4536326.70	1846
CRUMB	TOASTER	"CRUMB - TOASTER"	t	0	z	4534480.42	4536326.70	1846
LAWN	BEEF	"LAWN - BEEF"	nt	0	z	4534480.42	4536326.70	1846
OFFICER	BLUE	"OFFICER - BLUE"	t	0	z	4546197.09	4548919.86	2722
NIGHTCLUB	LIPSTICK	"NIGHTCLUB - LIPSTICK"	b	0	z	4550230.43	4551984.11	1753
GLOW	GHOST	"GLOW - OOOOO"	pb	0	z	4553297.09	4555399.48	2102
ADVICE	LESSON	"ADVICE - OOOOOO"	pb	0	z	4553297.09	4555399.48	2102
SCREEN	SNACK	"SCREEN - SNACK"	nt	0	z	4553297.09	4555399.48	2102
LENS	PHYSICS	"LENS - PHYSICS"	b	0	z	4565280.43	4567247.48	1967
DECISION	JUDGE	"DECISION - JUDGE"	b	0	z	4568563.76	4570334.47	1770
LEAP	BALLET	"LEAP - OOOOOO"	pb	0	z	4568563.76	4570334.47	1770
ABDOMEN	THIGH	"ABDOMEN - THIGH"	nt	0	z	4568563.76	4570334.47	1770
FOREST	TENT	"FOREST - OOOO"	pb	0	z	4568563.76	4570334.47	1770
TYPE	PAPER	"TYPE - PAPER"	t	0	z	4568563.76	4570334.47	1770
TAPE	RADIO	"TAPE - RADIO"	nt	0	z	4568563.76	4570334.47	1770
LICE	SCALP	"LICE - SCALP"	b	0	z	4593063.77	4595261.65	2197
PLANE	CLOUD	"PLANE - CLOUD"	t	0	z	4593063.77	4595261.65	2197
UNIT	GRAVITY	"UNIT - OOOOOOO"	pb	0	z	4600847.10	4602470.65	1623
VITAMIN	LEMON	"VITAMIN - LEMON"	b	0	z	4603780.43	4605334.45	1554
SLAB	GRANITE	"SLAB - OOOOOOO"	pb	0	z	4603780.43	4605334.45	1554
JAW	GUM	"JAW - OOO"	fpb	0	z	4610930.42	4613039.16	2108
CIGAR	VICE	"CIGAR - OOOO"	fpb	0	z	4614347.09	4616501.81	2154
CARTOON	HERO	"CARTOON - HERO"	fb	0	z	4617813.77	4620142.87	2329
JOGGER	COLLIE	"JOGGER - COLLIE"	t	0	z	4617813.77	4620142.87	2329
COAST	THUNDER	"COAST - THUNDER"	nt	0	z	4617813.77	4620142.87	2329
ANTLER	KNIFE	"ANTLER - OOOOO"	pb	0	z	4630013.75	4632732.38	2718
REAR	TRAFFIC	"REAR - OOOOOOO"	pb	0	z	4630013.75	4632732.38	2718
PUMP	OIL	"PUMP - OIL"	ft	0	z	4638330.42	4640174.06	1843
HIVE	HEXAGON	"HIVE - HEXAGON"	b	0	z	4641480.42	4644069.44	2589
DECAY	CARBON	"DECAY - OOOOOO"	pb	0	x	4645380.43	4648029.78	2649
JOURNEY	PANTS	"JOURNEY - OOOOO"	pb	0	x	4645380.43	4648029.78	2649
WOOD	TERMITE	"WOOD - OOOOOOO"	pb	0	x	4645380.43	4648029.78	2649
DIET	CREAM	"DIET - OOOOO"	pb	0	z	4657913.76	4660862.09	2948
LOAN	POVERTY	"LOAN - POVERTY"	nt	0	z	4657913.76	4660862.09	2948
BOOTH	DIAL	"BOOTH - DIAL"	nt	0	z	4657913.76	4660862.09	2948
STUMBLE	CLOWN	"STUMBLE - OOOOO"	pb	0	z	4670747.09	4673181.91	2434
MIXTURE	JAR	"MIXTURE - OOO"	pb	0	z	4674497.10	4677172.84	2675
SURFACE	FOAM	"SURFACE - FOAM"	nt	0	z	4674497.10	4677172.84	2675
KNUCKLE	RING	"KNUCKLE - RING"	t	0	z	4674497.10	4677172.84	2675
WISDOM	MONK	"WISDOM - MONK"	fb	0	z	4687047.09	4689051.08	2003
BROOM	HOUSE	"BROOM - HOUSE"	b	0	z	4690363.75	4692731.31	2367
STEAM	TRAIN	"STEAM - TRAIN"	nt	0	z	4690363.75	4692731.31	2367
PIPE	WRENCH	"PIPE - WRENCH"	nt	0	z	4690363.75	4692731.31	2367
CRADLE	PARENT	"CRADLE - PARENT"	b	0	z	4690363.75	4692731.31	2367
FOSSIL	DINOSAUR	"FOSSIL - DINOSAUR"	nt	0	z	4706897.09	4709466.75	2569
INSIGHT	ART	"INSIGHT - ART"	nt	0	z	4706897.09	4709466.75	2569
SERVANT	QUEEN	"SERVANT - QUEEN"	nt	0	z	4715063.77	4717915.49	2851
