"CHALK"	"BOOK"	"CHALK - BOOK"	"fnt"
"DECAY"	"CARBON"	"DECAY - OOOOOO"	"pb"
"ADVICE"	"LESSON"	"ADVICE - OOOOOO"	"pb"
"DIET"	"CREAM"	"DIET - OOOOO"	"pb"
"CENT"	"BEGGAR"	"CENT - BEGGAR"	"t"
"LENS"	"PHYSICS"	"LENS - PHYSICS"	"b"
"LICE"	"SCALP"	"LICE - SCALP"	"b"
"SOCIETY"	"YOUTH"	"SOCIETY - OOOOO"	"pb"
"PLANE"	"CLOUD"	"PLANE - CLOUD"	"t"
"SKULL"	"MUMMY"	"SKULL - MUMMY"	"t"
"TAPE"	"RADIO"	"TAPE - RADIO"	"nt"
"CARTOON"	"HERO"	"CARTOON - HERO"	"fb"
"CRACK"	"LOBSTER"	"CRACK - LOBSTER"	"t"
"BAT"	"DIRT"	"BAT - DIRT"	"b"
"PICNIC"	"HILL"	"PICNIC - HILL"	"b"
"ACCIDENT"	"SNOW"	"ACCIDENT - SNOW"	"t"
"COAST"	"THUNDER"	"COAST - THUNDER"	"nt"
"SURPRISE"	"SNAKE"	"SURPRISE - SNAKE"	"b"
"SERVANT"	"QUEEN"	"SERVANT - QUEEN"	"nt"
"ABDOMEN"	"THIGH"	"ABDOMEN - THIGH"	"nt"
"WOOD"	"TERMITE"	"WOOD - OOOOOOO"	"pb"
"BREATH"	"TICKLE"	"BREATH - TICKLE"	"nt"
"COLLEGE"	"CERTIFICATE"	"COLLEGE - CERTIFICATE"	"ft"
