"COLLEGE"	"CERTIFICATE"	"COLLEGE - CERTIFICATE"	"ft"
"PLUM"	"CORE"	"PLUM - CORE"	"b"
"NAIL"	"PICTURE"	"NAIL - PICTURE"	"t"
"SURPRISE"	"SNAKE"	"SURPRISE - SNAKE"	"b"
"ACE"	"SYMBOL"	"ACE - SYMBOL"	"b"
"DIET"	"CREAM"	"DIET - OOOOO"	"pb"
"RUG"	"WOOL"	"RUG - WOOL"	"t"
"LINT"	"CURTAIN"	"LINT - CURTAIN"	"ft"
"PIPE"	"WRENCH"	"PIPE - WRENCH"	"nt"
"SCRATCH"	"MOSQUITO"	"SCRATCH - OOOOOOOO"	"fpb"
"SOCIETY"	"YOUTH"	"SOCIETY - OOOOO"	"pb"
"BUSINESS"	"DESK"	"BUSINESS - OOOO"	"pb"
"BOND"	"WEDDING"	"BOND - WEDDING"	"fnt"
"RELAX"	"BED"	"RELAX - BED"	"nt"
"ADVICE"	"LESSON"	"ADVICE - OOOOOO"	"pb"
"WOOD"	"TERMITE"	"WOOD - OOOOOOO"	"pb"
"JOURNEY"	"PANTS"	"JOURNEY - OOOOO"	"pb"
"UNIT"	"GRAVITY"	"UNIT - OOOOOOO"	"pb"
"DECISION"	"JUDGE"	"DECISION - JUDGE"	"b"
"HIVE"	"HEXAGON"	"HIVE - HEXAGON"	"b"
"HELM"	"OPERA"	"HELM - OOOOO"	"pb"
"SKULL"	"MUMMY"	"SKULL - MUMMY"	"t"
"NAPKIN"	"FORK"	"NAPKIN - FORK"	"b"
"CRUMB"	"TOASTER"	"CRUMB - TOASTER"	"t"
"METAL"	"STAPLE"	"METAL - STAPLE"	"b"
"VAULT"	"BRASS"	"VAULT - OOOOO"	"pb"
"TYPE"	"PAPER"	"TYPE - PAPER"	"t"
"LEAP"	"BALLET"	"LEAP - OOOOOO"	"pb"
"MILK"	"SKIM"	"MILK - SKIM"	"t"
"ABDOMEN"	"THIGH"	"ABDOMEN - THIGH"	"nt"
"VOLUME"	"TANK"	"VOLUME - TANK"	"b"
"PUMP"	"OIL"	"PUMP - OIL"	"fb"
"CANDLE"	"WINE"	"CANDLE - WINE"	"b"
"BROOM"	"HOUSE"	"BROOM - HOUSE"	"b"
"AROMA"	"PLANT"	"AROMA - PLANT"	"t"
"LOAN"	"POVERTY"	"LOAN - POVERTY"	"nt"
"LIBERTY"	"EAGLE"	"LIBERTY - EAGLE"	"t"
"LUGGAGE"	"LEATHER"	"LUGGAGE - LEATHER"	"t"
"REAR"	"TRAFFIC"	"REAR - OOOOOOO"	"pb"
"LAKE"	"SUMMER"	"LAKE - SUMMER"	"b"
"CENT"	"BEGGAR"	"CENT - BEGGAR"	"t"
"NIGHTCLUB"	"LIPSTICK"	"NIGHTCLUB - LIPSTICK"	"b"
"LICE"	"SCALP"	"LICE - SCALP"	"b"
"BREATH"	"TICKLE"	"BREATH - TICKLE"	"nt"
"PICNIC"	"HILL"	"PICNIC - HILL"	"b"
"ACCIDENT"	"SNOW"	"ACCIDENT - SNOW"	"t"
"MUSEUM"	"CLAY"	"MUSEUM - CLAY"	"t"
"MIXTURE"	"JAR"	"MIXTURE - OOO"	"pb"
"STEAM"	"TRAIN"	"STEAM - TRAIN"	"nt"
"KNUCKLE"	"RING"	"KNUCKLE - RING"	"t"
"CRACK"	"LOBSTER"	"CRACK - LOBSTER"	"t"
"DOUGH"	"SALT"	"DOUGH - SALT"	"t"
"SERVANT"	"QUEEN"	"SERVANT - QUEEN"	"nt"
"CARTOON"	"HERO"	"CARTOON - OOOO"	"fpb"
"HUG"	"ROSE"	"HUG - OOOO"	"pb"
"JAW"	"GUM"	"JAW - GUM"	"ft"
"LAWN"	"BEEF"	"LAWN - BEEF"	"nt"
"STUMBLE"	"CLOWN"	"STUMBLE - OOOOO"	"pb"
"SCREEN"	"SNACK"	"SCREEN - SNACK"	"nt"
"BOOTH"	"DIAL"	"BOOTH - DIAL"	"nt"
"JOGGER"	"COLLIE"	"JOGGER - COLLIE"	"t"
"LENS"	"PHYSICS"	"LENS - PHYSICS"	"b"
"WAFFLE"	"MAPLE"	"WAFFLE - MAPLE"	"nt"
"FOSSIL"	"DINOSAUR"	"FOSSIL - DINOSAUR"	"nt"
"ANTLER"	"KNIFE"	"ANTLER - OOOOO"	"pb"
"INSTANT"	"RATE"	"INSTANT - OOOO"	"pb"
"FOREST"	"TENT"	"FOREST - OOOO"	"pb"
