"WISDOM"	"MONK"	"WISDOM - MONK"	"fnt"
"SOCIETY"	"YOUTH"	"SOCIETY - OOOOO"	"pb"
"RELAX"	"BED"	"RELAX - BED"	"nt"
"FOREST"	"TENT"	"FOREST - OOOO"	"pb"
"BUSINESS"	"DESK"	"BUSINESS - OOOO"	"pb"
"ABDOMEN"	"THIGH"	"ABDOMEN - THIGH"	"nt"
"CRUMB"	"TOASTER"	"CRUMB - TOASTER"	"t"
"RUG"	"WOOL"	"RUG - WOOL"	"t"
"COAST"	"THUNDER"	"COAST - THUNDER"	"nt"
"VOLUME"	"TANK"	"VOLUME - TANK"	"b"
"HELM"	"OPERA"	"HELM - OOOOO"	"pb"
"LINT"	"CURTAIN"	"LINT - CURTAIN"	"ft"
"METAL"	"STAPLE"	"METAL - STAPLE"	"b"
"LICE"	"SCALP"	"LICE - SCALP"	"b"
"KNUCKLE"	"RING"	"KNUCKLE - RING"	"t"
"MILK"	"SKIM"	"MILK - SKIM"	"t"
"STEAM"	"TRAIN"	"STEAM - TRAIN"	"nt"
"LIBERTY"	"EAGLE"	"LIBERTY - EAGLE"	"t"
"VITAMIN"	"LEMON"	"VITAMIN - LEMON"	"b"
"ANTLER"	"KNIFE"	"ANTLER - OOOOO"	"pb"
"ACE"	"SYMBOL"	"ACE - SYMBOL"	"b"
"BOOTH"	"DIAL"	"BOOTH - DIAL"	"nt"
"CARTOON"	"HERO"	"CARTOON - OOOO"	"fpb"
