"COAST"	"THUNDER"	"COAST - THUNDER"	"nt"
"HIVE"	"HEXAGON"	"HIVE - HEXAGON"	"b"
"ABDOMEN"	"THIGH"	"ABDOMEN - THIGH"	"nt"
"BAT"	"DIRT"	"BAT - DIRT"	"b"
"SCREEN"	"SNACK"	"SCREEN - SNACK"	"nt"
"SURFACE"	"FOAM"	"SURFACE - FOAM"	"nt"
"RUG"	"WOOL"	"RUG - WOOL"	"t"
"KNUCKLE"	"RING"	"KNUCKLE - RING"	"t"
"LUGGAGE"	"LEATHER"	"LUGGAGE - LEATHER"	"t"
"BREATH"	"TICKLE"	"BREATH - TICKLE"	"nt"
"TYPE"	"PAPER"	"TYPE - PAPER"	"t"
"LATCH"	"CAGE"	"LATCH - CAGE"	"b"
"PLUM"	"CORE"	"PLUM - CORE"	"b"
"FOSSIL"	"DINOSAUR"	"FOSSIL - DINOSAUR"	"nt"
"AROMA"	"PLANT"	"AROMA - PLANT"	"t"
"SURPRISE"	"SNAKE"	"SURPRISE - SNAKE"	"b"
"ACE"	"SYMBOL"	"ACE - SYMBOL"	"b"
"LIBERTY"	"EAGLE"	"LIBERTY - EAGLE"	"t"
"MILK"	"SKIM"	"MILK - SKIM"	"t"
"NEEDLE"	"DOCTOR"	"NEEDLE - DOCTOR"	"nt"
"BRAKE"	"ANCHOR"	"BRAKE - ANCHOR"	"nt"
"CANDLE"	"WINE"	"CANDLE - WINE"	"b"
"PIPE"	"WRENCH"	"PIPE - WRENCH"	"nt"
"CRACK"	"LOBSTER"	"CRACK - LOBSTER"	"t"
"INSIGHT"	"ART"	"INSIGHT - ART"	"nt"
"CRADLE"	"PARENT"	"CRADLE - PARENT"	"b"
"RELAX"	"BED"	"RELAX - BED"	"nt"
"JOGGER"	"COLLIE"	"JOGGER - COLLIE"	"t"
"OFFICER"	"BLUE"	"OFFICER - BLUE"	"t"
"CROW"	"ASCENT"	"CROW - ASCENT"	"nt"
"SKULL"	"MUMMY"	"SKULL - MUMMY"	"t"
"SOIL"	"TOMATO"	"SOIL - TOMATO"	"t"
"PET"	"MOUSE"	"PET - MOUSE"	"nt"
"NAPKIN"	"FORK"	"NAPKIN - FORK"	"b"
"CENT"	"BEGGAR"	"CENT - BEGGAR"	"t"
"SERVANT"	"QUEEN"	"SERVANT - QUEEN"	"nt"
"NIGHTCLUB"	"LIPSTICK"	"NIGHTCLUB - LIPSTICK"	"b"
"LICE"	"SCALP"	"LICE - SCALP"	"b"
"ACCIDENT"	"SNOW"	"ACCIDENT - SNOW"	"t"
"LAWN"	"BEEF"	"LAWN - BEEF"	"nt"
"STEAM"	"TRAIN"	"STEAM - TRAIN"	"nt"
"MUSEUM"	"CLAY"	"MUSEUM - CLAY"	"t"
"METAL"	"STAPLE"	"METAL - STAPLE"	"b"
"TAPE"	"RADIO"	"TAPE - RADIO"	"nt"
"PENCIL"	"STICKER"	"PENCIL - STICKER"	"t"
"TREE"	"LIFE"	"TREE - LIFE"	"b"
"WAFFLE"	"MAPLE"	"WAFFLE - MAPLE"	"nt"
"DECISION"	"JUDGE"	"DECISION - JUDGE"	"b"
"LOAN"	"POVERTY"	"LOAN - POVERTY"	"nt"
"CRUMB"	"TOASTER"	"CRUMB - TOASTER"	"t"
"PICNIC"	"HILL"	"PICNIC - HILL"	"b"
"PLANE"	"CLOUD"	"PLANE - CLOUD"	"t"
"LENS"	"PHYSICS"	"LENS - PHYSICS"	"b"
"VITAMIN"	"LEMON"	"VITAMIN - LEMON"	"b"
"BROOM"	"HOUSE"	"BROOM - HOUSE"	"b"
"LAKE"	"SUMMER"	"LAKE - SUMMER"	"b"
"VOLUME"	"TANK"	"VOLUME - TANK"	"b"
"NAIL"	"PICTURE"	"NAIL - PICTURE"	"t"
"BOOTH"	"DIAL"	"BOOTH - DIAL"	"nt"
"DOUGH"	"SALT"	"DOUGH - SALT"	"t"
