"COLLEGE"	"CERTIFICATE"	"COLLEGE - CERTIFICATE"	"ft"
"JOGGER"	"COLLIE"	"JOGGER - COLLIE"	"t"
"CANDLE"	"WINE"	"CANDLE - WINE"	"b"
"WOOD"	"TERMITE"	"WOOD - OOOOOOO"	"pb"
"NAPKIN"	"FORK"	"NAPKIN - FORK"	"b"
"PLUM"	"CORE"	"PLUM - CORE"	"b"
"PET"	"MOUSE"	"PET - MOUSE"	"nt"
"SLAB"	"GRANITE"	"SLAB - OOOOOOO"	"pb"
"BRAKE"	"ANCHOR"	"BRAKE - ANCHOR"	"nt"
"OFFICER"	"BLUE"	"OFFICER - BLUE"	"t"
"CROW"	"ASCENT"	"CROW - ASCENT"	"nt"
"PUMP"	"OIL"	"PUMP - OIL"	"fb"
"DOUGH"	"SALT"	"DOUGH - SALT"	"t"
"STUMBLE"	"CLOWN"	"STUMBLE - OOOOO"	"pb"
"TREE"	"LIFE"	"TREE - LIFE"	"b"
"MIXTURE"	"JAR"	"MIXTURE - OOO"	"pb"
"JOURNEY"	"PANTS"	"JOURNEY - OOOOO"	"pb"
"LENS"	"PHYSICS"	"LENS - PHYSICS"	"b"
"AROMA"	"PLANT"	"AROMA - PLANT"	"t"
"LOAN"	"POVERTY"	"LOAN - POVERTY"	"nt"
"CRACK"	"LOBSTER"	"CRACK - LOBSTER"	"t"
"WAFFLE"	"MAPLE"	"WAFFLE - MAPLE"	"nt"
"JAW"	"GUM"	"JAW - GUM"	"ft"
