"LINT"	"CURTAIN"	"LINT - CURTAIN"	"fnt"
"BOOTH"	"DIAL"	"BOOTH - DIAL"	"nt"
"COAST"	"THUNDER"	"COAST - THUNDER"	"nt"
"RUG"	"WOOL"	"RUG - WOOL"	"t"
"SOIL"	"TOMATO"	"SOIL - TOMATO"	"t"
"NAPKIN"	"FORK"	"NAPKIN - FORK"	"b"
"JOURNEY"	"PANTS"	"JOURNEY - OOOOO"	"pb"
"LENS"	"PHYSICS"	"LENS - PHYSICS"	"b"
"LUGGAGE"	"LEATHER"	"LUGGAGE - LEATHER"	"t"
"SOCIETY"	"YOUTH"	"SOCIETY - OOOOO"	"pb"
"BRAKE"	"ANCHOR"	"BRAKE - ANCHOR"	"nt"
"BOND"	"WEDDING"	"BOND - WEDDING"	"fb"
"LATCH"	"CAGE"	"LATCH - CAGE"	"b"
"CRACK"	"LOBSTER"	"CRACK - LOBSTER"	"t"
"VAULT"	"BRASS"	"VAULT - OOOOO"	"pb"
"HELM"	"OPERA"	"HELM - OOOOO"	"pb"
"ABDOMEN"	"THIGH"	"ABDOMEN - THIGH"	"nt"
"LAKE"	"SUMMER"	"LAKE - SUMMER"	"b"
"AROMA"	"PLANT"	"AROMA - PLANT"	"t"
"NEEDLE"	"DOCTOR"	"NEEDLE - DOCTOR"	"nt"
"FOREST"	"TENT"	"FOREST - OOOO"	"pb"
"SURPRISE"	"SNAKE"	"SURPRISE - SNAKE"	"b"
"WISDOM"	"MONK"	"WISDOM - OOOO"	"fpb"
