"BOND"	"WEDDING"	"BOND - OOOOOOO"	"fpb"
"BREATH"	"TICKLE"	"BREATH - OOOOOO"	"pb"
"DECAY"	"CARBON"	"DECAY - CARBON"	"nt"
"PIPE"	"WRENCH"	"PIPE - OOOOOO"	"pb"
"RELAX"	"BED"	"RELAX - OOO"	"pb"
"VOLUME"	"TANK"	"VOLUME - TANK"	"t"
"COAST"	"THUNDER"	"COAST - OOOOOOO"	"pb"
"MILK"	"SKIM"	"MILK - SKIM"	"b"
"NAIL"	"PICTURE"	"NAIL - PICTURE"	"b"
"INSTANT"	"RATE"	"INSTANT - RATE"	"nt"
"LICE"	"SCALP"	"LICE - SCALP"	"t"
"TOLL"	"BRIDGE"	"TOLL - BRIDGE"	"fb"
"METAL"	"STAPLE"	"METAL - STAPLE"	"t"
"DOUGH"	"SALT"	"DOUGH - SALT"	"b"
"TYPE"	"PAPER"	"TYPE - PAPER"	"b"
"SLAB"	"GRANITE"	"SLAB - GRANITE"	"nt"
"HELM"	"OPERA"	"HELM - OPERA"	"nt"
"SOCIETY"	"YOUTH"	"SOCIETY - YOUTH"	"nt"
"LENS"	"PHYSICS"	"LENS - PHYSICS"	"t"
"FOSSIL"	"DINOSAUR"	"FOSSIL - OOOOOOOO"	"pb"
"KNUCKLE"	"RING"	"KNUCKLE - RING"	"b"
"BAT"	"DIRT"	"BAT - DIRT"	"t"
"CARTOON"	"HERO"	"CARTOON - HERO"	"ft"
