"PUMP"	"OIL"	"PUMP - OOO"	"fpb"
"PET"	"MOUSE"	"PET - OOOOO"	"pb"
"PICNIC"	"HILL"	"PICNIC - HILL"	"t"
"RUG"	"WOOL"	"RUG - WOOL"	"b"
"MUSEUM"	"CLAY"	"MUSEUM - CLAY"	"b"
"NEEDLE"	"DOCTOR"	"NEEDLE - OOOOOO"	"pb"
"HIVE"	"HEXAGON"	"HIVE - HEXAGON"	"t"
"INSIGHT"	"ART"	"INSIGHT - OOO"	"pb"
"BRAKE"	"ANCHOR"	"BRAKE - OOOOOO"	"pb"
"ACCIDENT"	"SNOW"	"ACCIDENT - SNOW"	"b"
"STEAM"	"TRAIN"	"STEAM - OOOOO"	"pb"
"LINT"	"CURTAIN"	"LINT - CURTAIN"	"ft"
"UNIT"	"GRAVITY"	"UNIT - GRAVITY"	"nt"
"PLUM"	"CORE"	"PLUM - CORE"	"t"
"ACE"	"SYMBOL"	"ACE - SYMBOL"	"t"
"ANTLER"	"KNIFE"	"ANTLER - KNIFE"	"nt"
"PENCIL"	"STICKER"	"PENCIL - STICKER"	"b"
"LEAP"	"BALLET"	"LEAP - BALLET"	"nt"
"ADVICE"	"LESSON"	"ADVICE - LESSON"	"nt"
"LUGGAGE"	"LEATHER"	"LUGGAGE - LEATHER"	"b"
"LATCH"	"CAGE"	"LATCH - CAGE"	"t"
"BUSINESS"	"DESK"	"BUSINESS - DESK"	"nt"
"SCRATCH"	"MOSQUITO"	"SCRATCH - MOSQUITO"	"fnt"
