"PUMP"	"OIL"	"PUMP - OIL"	"fb"
"LAWN"	"BEEF"	"LAWN - BEEF"	"b"
"LENS"	"PHYSICS"	"LENS - OOOOOOO"	"pb"
"WOOD"	"TERMITE"	"WOOD - TERMITE"	"t"
"BREATH"	"TICKLE"	"BREATH - TICKLE"	"b"
"SURFACE"	"FOAM"	"SURFACE - FOAM"	"b"
"GLOW"	"GHOST"	"GLOW - GHOST"	"t"
"UNIT"	"GRAVITY"	"UNIT - GRAVITY"	"t"
"LIBERTY"	"EAGLE"	"LIBERTY - EAGLE"	"nt"
"BAT"	"DIRT"	"BAT - OOOO"	"pb"
"PLUM"	"CORE"	"PLUM - OOOO"	"pb"
"COLLEGE"	"CERTIFICATE"	"COLLEGE - OOOOOOOOOOO"	"fpb"
"JOGGER"	"COLLIE"	"JOGGER - COLLIE"	"nt"
"NAIL"	"PICTURE"	"NAIL - PICTURE"	"nt"
"SOIL"	"TOMATO"	"SOIL - TOMATO"	"nt"
"FOREST"	"TENT"	"FOREST - TENT"	"t"
"TREE"	"LIFE"	"TREE - OOOO"	"pb"
"CRADLE"	"PARENT"	"CRADLE - OOOOOO"	"pb"
"MUSEUM"	"CLAY"	"MUSEUM - CLAY"	"nt"
"BRAKE"	"ANCHOR"	"BRAKE - ANCHOR"	"b"
"ADVICE"	"LESSON"	"ADVICE - LESSON"	"t"
"LOAN"	"POVERTY"	"LOAN - POVERTY"	"b"
"WISDOM"	"MONK"	"WISDOM - OOOO"	"fpb"
