5236.579	areyouready	LOADING RESOURCE SURFACE FROM DISK
2706481.831	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2706483.649	StudyPhase[1].LearningPhase_1.Word_1	flip time is later than desired time. Desired Time=2706208 Flip Time=2706492 Retrace Rate=16.641, prepareTime=298 flip request time 2706483
2710303.609	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2710305.232	StudyPhase[1].LearningPhase_1.Word_1	flip time is later than desired time. Desired Time=2710275 Flip Time=2710325 Retrace Rate=16.641, prepareTime=53 flip request time 2710305
2714129.916	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2714131.678	StudyPhase[1].LearningPhase_1.Word_1	flip time is later than desired time. Desired Time=2714108 Flip Time=2714142 Retrace Rate=16.641, prepareTime=46 flip request time 2714131
2717912.533	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2721739.0	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2721740.667	StudyPhase[1].LearningPhase_1.Word_1	flip time is later than desired time. Desired Time=2721708 Flip Time=2721758 Retrace Rate=16.641, prepareTime=55 flip request time 2721740
2725528.704	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2729312.322	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2733095.564	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2736878.978	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2740686.521	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2740688.144	StudyPhase[1].LearningPhase_1.Word_1	flip time is later than desired time. Desired Time=2740675 Flip Time=2740708 Retrace Rate=16.641, prepareTime=36 flip request time 2740687
2744512.165	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2744513.796	StudyPhase[1].LearningPhase_1.Word_1	flip time is later than desired time. Desired Time=2744492 Flip Time=2744525 Retrace Rate=16.641, prepareTime=45 flip request time 2744513
2748335.049	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2748336.714	StudyPhase[1].LearningPhase_1.Word_1	flip time is later than desired time. Desired Time=2748308 Flip Time=2748358 Retrace Rate=16.641, prepareTime=51 flip request time 2748336
2752128.797	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2755912.357	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2759695.803	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2763479.176	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2767262.49	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2771045.857	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2774829.005	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2778612.519	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2782434.42	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2782436.084	StudyPhase[1].LearningPhase_1.Word_1	flip time is later than desired time. Desired Time=2782408 Flip Time=2782458 Retrace Rate=16.641, prepareTime=51 flip request time 2782435
2786271.027	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2786272.713	StudyPhase[1].LearningPhase_1.Word_1	flip time is later than desired time. Desired Time=2786242 Flip Time=2786292 Retrace Rate=16.641, prepareTime=54 flip request time 2786272
2790062.543	StudyPhase[1].LearningPhase_1.Word_1	LOADING RESOURCE SURFACE FROM DISK
2932749.12	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
2932750.843	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	flip time is later than desired time. Desired Time=2932475 Flip Time=2932775 Retrace Rate=16.641, prepareTime=299 flip request time 2932750
2935643.17	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
2937463.975	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
2937465.756	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	flip time is later than desired time. Desired Time=2937442 Flip Time=2937475 Retrace Rate=16.641, prepareTime=47 flip request time 2937465
2939588.808	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
2941420.038	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
2941421.803	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	flip time is later than desired time. Desired Time=2941392 Flip Time=2941442 Retrace Rate=16.641, prepareTime=53 flip request time 2941421
2943927.757	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
2945712.331	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
2948471.225	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
2950331.265	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
2950332.934	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	flip time is later than desired time. Desired Time=2950275 Flip Time=2950342 Retrace Rate=16.641, prepareTime=81 flip request time 2950332
2952438.46	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
2954229.304	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
2957254.747	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
2959045.913	StudyPhase[1].TestFeedback_1[1].Hint_1[1]	LOADING RESOURCE SURFACE FROM DISK
2962071.549	StudyPhase[1].TestFeedback_1[1].Feedback_1[1]	LOADING RESOURCE SURFACE FROM DISK
